Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Crane operator,Alabama - Roanoke Shop,Strongly agree,100,Strongly disagree,20,Agree,80,Agree,80,Agree,80,Agree,80,Just being around good people ,People & Culture,Running the crane ,Equipment & Resources,Satisfied,80,Nothing ,No Changes
Leadperson,Alabama - Roanoke Shop,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Agree,80,"Not every day is the same, and that you get to do something different.",Nature of Work,Only Chuck seems to want to improve Steelfab. Problems not getting fixed.,People & Culture,Satisfied,80,"1.That leaders be appointed out of state, or that Steelfab would rotate plant leaders through the company. 2. Chuck stay permanent. ",Leadership Improvement
Fitter,Alabama - Roanoke Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Being treated with respect ,People & Culture,The heat in the summer and the freezing cold in the winter ,Working Conditions,Satisfied,80,When it rains. My bay gets flooded with water. I wish this could be fixed. ,Improved Equipment & Working Conditions
Leadperson,Alabama - Roanoke Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,The people I work with,People & Culture,Hot and cold temperatures ,Working Conditions,Satisfied,80,Nothing ,No Changes
Fitter,Alabama - Roanoke Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,3:30 PM,Other,5:00 AM,Schedule & Hours,Satisfied,80,Better work gloves,Improved Equipment & Working Conditions
Fitter,Alabama - Roanoke Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Disagree,40,Agree,80,Agree,80,My coworkers. It feels like just hanging out with your buddies at work. ,People & Culture,The point system ,Management & Leadership,Extremely satisfied,100,I have risen really fast at steel fab in the last 2-3 years but I feel I’ve hit a ceiling now. I wish there was opportunity to keep rising. ,Training & Career Development
Fitter,Alabama - Roanoke Shop,Agree,80,Agree,80,Strongly agree,100,Agree,80,Agree,80,Agree,80,Learning every day ,Accomplishment & Growth,Grind ,Working Conditions,Extremely satisfied,100,,Blank
Machine operator,Alabama - Roanoke Shop,Agree,80,Agree,80,Agree,80,Agree,80,Disagree,40,Disagree,40,I enjoy the increase amount in the bonuses and pay scale,Pay & Benefits,Long hours and working weekends,Schedule & Hours,Neither satisfied nor dissatisfied,60,"I believe that a 2:00pm 10 minute break should be added when working a 10 plus hour work day, especially when the temperature is 90 plus. When new machines are put in, the operators need more than 3 days of training from the engineers so we can know how to run the machine in a faster and more efficient way. ",Schedule & Work-Life Balance
Part runner,Alabama - Roanoke Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,The coworkers ,People & Culture,Heat,Working Conditions,Satisfied,80,Started off as learning weld,Training & Career Development
Maintenance,Alabama - Roanoke Shop,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Pay checks. Bonuses  ,Pay & Benefits,All the stress   And all the long hours and all the changes on how we can use our pto,People & Culture,Satisfied,80,We stay short staffed in our maintenance dept we have a safety lady that is on our hours which put us always short staffed so I would make changes so we could have another maintenance tech,Schedule & Work-Life Balance
Programmer,Alabama - Roanoke Shop,Agree,80,Agree,80,Disagree,40,Neither agree nor disagree,60,Strongly disagree,20,Agree,80,No comment ,Other,The favoritism toward some employees.,People & Culture,Satisfied,80,Punish those that abuse the point system. Punish those that abuse the PTO. Reward those that don't abuse these things. Don't punish everyone because of some that abuse.,Leadership Improvement
Welder,Alabama - Roanoke Shop,Strongly disagree,20,Neither agree nor disagree,60,Agree,80,Strongly disagree,20,Strongly disagree,20,Strongly disagree,20,My coworkers. Also the work itself is nice.,People & Culture,"Toxic attitudes of my leadership, and uncertainty of schedules",People & Culture,Neither satisfied nor dissatisfied,60,"Have a schedule set in stone,  and give new hires a real training program with someone who is good at training, rather than just good at the job.",Schedule & Work-Life Balance
Crane operator,Alabama - Roanoke Shop,Disagree,40,Strongly agree,100,Disagree,40,Strongly disagree,20,Disagree,40,Neither agree nor disagree,60,Pay,Pay & Benefits,Joey Brown,People & Culture,Dissatisfied,40,Stop the micromanaging and Saturday work. Do away with second shift. ,Leadership Improvement
Maintenance,Alabama - Roanoke Shop,Strongly agree,100,Strongly disagree,20,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The honest leadership and the opertunity to learn and grow in the company,People & Culture,The lack of supervisor to commit to follow all safety rules and regulations concerning equipment,Management & Leadership,Extremely satisfied,100,To always keep moving foward and keep  Improving in every way to benefit the company and keep a positive attitude towards with all employes,Training & Career Development
Fitter,Arizona - Chandler Shop,Disagree,40,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Disagree,40,Benefits for work produced for the company.,Pay & Benefits,Schedule change and consequences if not able to meet last minute changes and placing personal family time second to the shop.   Family oriented company that places work first.,Schedule & Hours,Satisfied,80,,Blank
Fitter,Arizona - Chandler Shop,Disagree,40,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Its a good company ,People & Culture,The point system and mandatory overtime ,Management & Leadership,Satisfied,80,Idk,No Changes
Programmer,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The opportunity and care for the company ,People & Culture,N/A,No Compliants,Extremely satisfied,100,N/A,No Changes
Fitter,Arizona - Chandler Shop,Strongly disagree,20,Disagree,40,Strongly agree,100,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Work is steady and fast paced ,Nature of Work,The leadership is poor.  Foreman and shop manager are here there but lost when questioned? Quick with words but no action. This is the steel industry and fabrication. We ain’t selling cars here.,Management & Leadership,Dissatisfied,40,Leadership and quality? Qc are slow and book smart not very intelligent about the installation process on building start to finish. Especially fieldwork. Foreman and leads can’t keep the flow going. Machine operators need more guidance and their boss needs to follow thru and stay on top of material cut list. Follow thru. Again leadership runs around like chicken with head cut off.,Leadership Improvement
Machine operator,Arizona - Chandler Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Everything I love coming to work ,People & Culture,That I have to leave at the end of the day ,No Compliants,Extremely satisfied,100,Nothing and nothing ,No Changes
Welder,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Strongly agree,100,Welding and improving my craft,Nature of Work,Standing all night,Working Conditions,Satisfied,80,Nothing.,No Changes
Fitter,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Likes my job ,Nature of Work,Nothing,No Compliants,Satisfied,80,More work,Schedule & Work-Life Balance
Fitter,Arizona - Chandler Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Agree,80,Welding and fitting ,Nature of Work,Not running the crane or waiting for a crane operator ,Equipment & Resources,Satisfied,80,Run the crane when I don’t have to wait for a crane operator. ,Improved Equipment & Working Conditions
Fitter,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Disagree,40,Strongly agree,100,Overtime ,Pay & Benefits,Coworkers and overtime ,People & Culture,Extremely satisfied,100,Nothing ,No Changes
Fitter,Arizona - Chandler Shop,Agree,80,Agree,80,Agree,80,Strongly agree,100,Agree,80,Agree,80,I like the adittuid and the motivation with the night shift employee ,People & Culture,Miantence si back up when You  need stuff it  dosent get fixed ,Equipment & Resources,Satisfied,80,No coment ,No Changes
Fitter,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Good co workers ,People & Culture,Days and nights not being on the same page ,Schedule & Hours,Satisfied,80,Management communication between days and nights ,Leadership Improvement
Fitter,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly agree,100,"Mostly, I enjoy reading blueprints and fitting more than welding.",Nature of Work,N/A,No Compliants,Satisfied,80,One thing I’d change about my work experience is to improve quality.,Improved Equipment & Working Conditions
Fitter,Arizona - Chandler Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Good pay ,Pay & Benefits,"I can't run the crane, lack of challenges ",Equipment & Resources,Neither satisfied nor dissatisfied,60,"Crane operator with the fitter position, more challenging fit ups ",Improved Equipment & Working Conditions
Fitter,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly agree,100,Learning new things ,Accomplishment & Growth,The heat ,Working Conditions,Satisfied,80,,Blank
Fitter,Arizona - Chandler Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,For fitting and welding,Nature of Work,No bully no still my tools,Other,Neither satisfied nor dissatisfied,60,More money ,Better Pay & Benefits
Fitter,Arizona - Chandler Shop,Strongly disagree,20,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Disagree,40,Agree,80,Feeling accomplished about the work I get done and skills I have. Also the work schedule reserving time for a good work/home life balance.,Accomplishment & Growth,"The leadership. How the Plant Manager puts people down and brings the overall moral down in the shop. People getting sent home for minuscule things that don’t affect safety or production, for example someone was sent home for laughing. Our jobs being threatened at every turn if the Plant Manager comes to work in a bad mood. A worker could do everything right for months on end and make one mistake only to be threatened to get fired. Favoritism in the shop is bad too. Someone will get fired for not being safe with the crane and another worker broke his finger with a crane and was told to lie about how it happened so he wouldn’t get fired. Racism and hate speech from higher ups, notably the Plant Manager Alex. Otherwise great company to work for.",Management & Leadership,Satisfied,80,The Plant Manager. Higher pay to offset the cost of living/inflation. People here can barely survive and pay bills.,Better Pay & Benefits
Fitter,Arizona - Chandler Shop,Agree,80,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,Everthing is good ,Nature of Work,Nothing ,No Compliants,Satisfied,80,,Blank
Fitter,Arizona - Chandler Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Ok,Other,"Well, so far everything is fine.",No Compliants,Extremely satisfied,100,very good,No Changes
Fitter,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,The company cares a lot about its employees ,People & Culture,The heat in the summer ,Working Conditions,Extremely satisfied,100,"I prefer to have yearly cost of living raises, not every 5 years. ",Better Pay & Benefits
Fitter,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,"Pay rate, job responsibilities, benefits and perks, company merch, and family environment ",Pay & Benefits,"Not being able to operate the overhead crane. Sometimes I feel unseen, or avoided",Equipment & Resources,Satisfied,80,Overhead crane usage,Improved Equipment & Working Conditions
Maintenance,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Strongly agree,100,Everything ,Nature of Work,Bad comunicación ,People & Culture,Extremely satisfied,100,Supervisors attitude,Leadership Improvement
Welder,Arizona - Chandler Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,I like the hours we work but when they change our hours an hour before we clock out is not ok,Pay & Benefits,Some of the management team should not be in the position they are in for example The plant manager Alex shouldn't be in that position he doesnt lead by example he likes to have his guys fear him. His go to answer for something when it isn't going his way or you aren't doing something his way he threatens to fire you,Management & Leadership,Neither satisfied nor dissatisfied,60,I would change management Alex is in my opinion not the right person for the job . I believe wholeheartedly that Nathan Stroud should be the plant manager he listens to his guys and let's them express concerns. Alex does not do that he likes it done his way or he tells you if you don't like it then to leave nothing is stopping you ,Leadership Improvement
